Ticker,Cost,Shares,date
VTI,109.8,10,5/14/15
VEA,42.4,10,5/14/15
MUB,108.679,10,5/14/15
VWO,43.92,10,5/14/15
MUB,108.45,5,5/19/15
VEA,42.2,5,5/19/15
